phi,psi
0.4974289277398999,-0.386528634464024
0.6376063795464473,-0.3679386542469095
0.7906824540552458,-0.2629074362665871
0.8506849364087885,-0.19914824425748076
0.9413885509221976,-0.28617699618780557
0.8940620518968067,-0.44868933053232696
0.9169024867535631,-0.28614789563450344
0.8551848248243672,-0.406852092704066
0.9872426267381051,-0.36449070110746273
0.9670282203033267,-0.5603229283897255
0.9557468638250118,-0.5482097138566762
1.023974469213652,-0.49052068985100034
0.9048674497625306,-0.5843607676920719
0.9989689475856107,-0.6942346168326273
0.9095077750220016,-0.7865653746073198
0.8204317801810046,-0.7827636191538369
0.6497027213641842,-0.8770496579022002
0.5524878842794368,-0.9134314341848995
0.3716103672276508,-1.0517916819895792
0.43246984534545724,-0.9547092689289669
0.42896628208697263,-1.0778213850727103
0.44657755352912265,-0.8624685776023225
0.5402232084575527,-0.8389305634429086
0.5209074909555642,-0.817302543767489
0.6330750669057885,-0.7339461625509052
0.5191413098796313,-0.7820458836183765
0.5649740316307499,-0.6148276130762058
0.5090664123181187,-0.6271781111276102
0.5910413875885995,-0.3329832726195682
0.6282309126293585,-0.48016087315952616
0.693934944345094,-0.3741840143082003
0.523976355774804,-0.3463285502540448
0.6855109572573038,-0.18805759347752923
0.5518969673220513,-0.17891360456912242
0.6382692569783495,-0.23108576895415933
0.5235315680373497,-0.2275549287020503
0.3897814500574518,-0.17392762522219407
0.24885722737292937,-0.07763660786103446
0.2817641272050751,-0.1484732993833171
0.41825470036988,-0.20557879775680513
0.38703952619298004,-0.16166217512379538
0.4153759121245207,-0.12272386289534826
0.4196965534308845,-0.1674285866794738
0.4115409717546844,-0.18780334276806934
0.40464416102913964,-0.3389249527624722
0.523754010013943,-0.43174165201358566
0.41717041008587985,-0.5111793916222518
0.4818820877498342,-0.6652320782220646
0.4869848447832103,-0.6535403077971071
0.5054869594591591,-0.8690398659084984
0.654595088321065,-0.8955192786460489
0.7540050320261765,-1.0228046976544731
0.8667465564427861,-0.9572864016538707
0.8836823022930429,-0.9196232739985364
1.2481132640351085,-0.9900938789056465
1.216302497700809,-1.0515085351951667
1.5123199108845522,-1.110154003203148
1.4313123033163628,-1.043720116641026
1.5922414912831386,-1.1573036748481027
1.8165608753854225,-0.9527851913853591
